customer_key,customer_id,customer_name,country,ages,age_category,total_orders,total_quantity,total_products,total_sales,customer_type,recent_order,oldest_order,time_period,customer_frequency,avg_spend_of_customer,spend_by_customer,customer_contribution
1,11000,Jon Yang,Australia,54,Mid_aged,3,8,8,8249,VIP,2013-05-03,2011-01-19,28,old customer,1031.13,8249,0.03%
2,11001,Eugene Huang,Australia,49,Mid_aged,3,11,10,6384,VIP,2013-12-10,2011-01-15,35,old customer,580.36,6384,0.02%
3,11002,Ruben Torres,Australia,54,Mid_aged,3,4,4,8114,VIP,2013-02-23,2011-01-07,25,old customer,2028.5,8114,0.03%
4,11003,Christy Zhu,Australia,52,Mid_aged,3,9,9,8139,VIP,2013-05-10,2010-12-29,29,old customer,904.33,8139,0.03%
5,11004,Elizabeth Johnson,Australia,46,Mid_aged,3,6,6,8196,VIP,2013-05-01,2011-01-23,28,old customer,1366,8196,0.03%
6,11005,Julio Ruiz,Australia,49,Mid_aged,3,6,6,8121,VIP,2013-05-02,2010-12-30,29,old customer,1353.5,8121,0.03%
7,11006,Janet Alvarez,Australia,49,Mid_aged,3,5,5,8119,VIP,2013-05-14,2011-01-24,28,old customer,1623.8,8119,0.03%
8,11007,Marco Mehta,Australia,56,Mid_aged,3,8,8,8211,VIP,2013-03-19,2011-01-09,26,old customer,1026.38,8211,0.03%
9,11008,Rob Verhoff,Australia,50,Mid_aged,3,7,7,8106,VIP,2013-03-02,2011-01-25,26,old customer,1158,8106,0.03%
10,11009,Shannon Carlson,Australia,56,Mid_aged,3,5,5,8091,VIP,2013-05-09,2011-01-27,28,old customer,1618.2,8091,0.03%
11,11010,Jacquelyn Suarez,Australia,56,Mid_aged,3,4,4,8088,VIP,2013-05-23,2011-01-14,28,old customer,2022,8088,0.03%
12,11011,Curtis Lu,Australia,56,Mid_aged,3,4,4,8133,VIP,2013-03-19,2010-12-30,27,old customer,2033.25,8133,0.03%
13,11012,Lauren Walker,United States,46,Mid_aged,2,5,5,81,NEW,2013-10-15,2013-03-16,7,regular customer,16.2,81,0.00%
14,11013,Ian Jenkins,United States,46,Mid_aged,2,5,5,114,NEW,2014-01-21,2013-04-13,9,regular customer,22.8,114,0.00%
15,11014,Sydney Bennett,United States,52,Mid_aged,2,6,5,138,NEW,2013-04-30,2013-03-23,1,new customer,23,138,0.00%
16,11015,Chloe Young,United States,41,Mid_aged,1,3,3,2501,Regular,2013-01-18,2013-01-18,0,new customer,833.67,2501,0.01%
17,11016,Wyatt Hill,United States,41,Mid_aged,1,3,3,2332,Regular,2013-02-09,2013-02-09,0,new customer,777.33,2332,0.01%
18,11017,Shannon Wang,Australia,76,Senior_Citizen,3,4,4,6434,VIP,2013-10-14,2011-01-12,33,old customer,1608.5,6434,0.02%
19,11018,Clarence Rai,Australia,70,Senior_Citizen,3,7,7,6533,VIP,2013-10-24,2011-01-17,33,old customer,933.29,6533,0.02%
20,11019,Luke Lal,Canada,42,Mid_aged,17,33,20,880,NEW,2014-01-12,2013-02-12,11,regular customer,26.67,880,0.00%
21,11020,Jordan King,Canada,41,Mid_aged,1,2,2,2317,Regular,2012-12-29,2012-12-29,0,new customer,1158.5,2317,0.01%
22,11021,Destiny Wilson,United States,41,Mid_aged,1,3,3,2372,Regular,2013-01-23,2013-01-23,0,new customer,790.67,2372,0.01%
23,11022,Ethan Zhang,United States,41,Mid_aged,1,2,2,2322,Regular,2013-01-20,2013-01-20,0,new customer,1161,2322,0.01%
